顶灯开启,252,00,00,08,07,AE,03,80,00,00,00,00
左前窗升起,259,00,00,08,04,AE,02,08,08,00,00,00
左前窗降下,259,00,00,08,04,AE,02,08,10,00,00,00
左前窗停止,259,00,00,08,04,AE,02,08,00,00,00,00
右后门,230 (RearLeftDoor),00,00,05,00,10,10,00,00,,,
退出测试模式,255,00,00,08,02,AA,00,00,00,00,00,00
油量指示最小值,255,00,00,08,07,AE,01,04,04,00,82,00
车窗已锁,415 (RightWindow),00,00,05,80,00,00,00,00,,,
车窗未锁（空闲）,415 (RightWindow),00,00,05,00,00,00,00,00,,,
右后视镜向左,405 (FrontLeftDoor),00,00,06,00,01,00,10,00,00,,
右后视镜向右,405 (FrontLeftDoor),00,00,06,00,02,00,10,00,00,,
右后视镜向上,405 (FrontLeftDoor),00,00,06,00,04,00,10,00,00,,
右后视镜向下,405 (FrontLeftDoor),00,00,06,00,08,00,10,00,00,,
左后视镜激活,405 (FrontLeftDoor),00,00,06,00,00,00,08,00,00,,
右后视镜激活,405 (FrontLeftDoor),00,00,06,00,00,00,10,00,00,,
左后窗升起,415 (RightWindow),00,00,05,00,00,20,1B,F0,,,
左后窗降下,415 (RightWindow),00,00,05,00,00,40,1B,F0,,,
右后窗控制,415 (RightWindow),00,00,05,00,00,02,1B,F0,,,
右后窗升起,415 (RightWindow),00,00,05,00,00,04,1B,F0,,,
右前窗升起,415 (RightWindow),00,00,05,00,02,00,1B,F0,,,
右前窗降下,415 (RightWindow),00,00,05,00,04,00,1B,F0,,,
右侧车窗空闲,415 (RightWindow),00,00,05,00,00,00,00,00,,,
左后门关闭,230 (RearLeftDoor),00,00,05,00,00,00,00,00,,,
左后门开启,230 (RearLeftDoor),00,00,05,00,40,00,00,00,,,
右前门关闭,420 (FrontRightDoor),00,00,05,00,00,00,00,00,,,
右前门开启,420 (FrontRightDoor),00,00,05,00,00,40,00,00,,,
左前门开启,405 (FrontLeftDoor),00,00,06,00,00,20,00,00,00,,
左前门关闭,405 (FrontLeftDoor),00,00,06,00,00,00,00,00,00,,
近光灯,350 (FrontFogLight),00,00,02,06,00,,,,,,
灯光关闭,23A (LightSwitch),00,00,03,00,00,00,,,,,
示廓灯,23A (LightSwitch),00,00,03,00,20,00,,,,,
近光灯,23A (LightSwitch),00,00,03,00,A0,00,,,,,
自动灯光,23A (LightSwitch),00,00,03,04,00,00,,,,,
远光灯,350 (FrontFogLight),00,00,02,46,00,,,,,,
左转向灯,260 (TurningLight),00,00,03,25,40,80,,,,,
右转向灯,260 (TurningLight),00,00,03,3A,40,80,,,,,
故障指示灯,260 (TurningLight),00,00,03,1F,40,80,,,,,
转向灯空闲,260 (TurningLight),00,00,03,00,40,80,,,,,
雨刷最小,175 (WheelJoys),00,00,08,00,00,00,00,33,00,00,00
雨刷最大,175 (WheelJoys),00,00,08,00,00,00,00,CC,00,00,00
刹车空闲,360 (Break),00,00,03,00,00,00,,,,,
刹车踩下,360 (Break),00,00,03,00,00,40,,,,,
踏板空闲（D2增加）,115 (Pedals),00,00,03,20,FF,50,,,,,
踏板刹车,115 (Pedals),00,00,03,28,FF,60,,,,,
踏板离合,115 (Pedals),00,00,03,24,FF,10,,,,,
手刹释放,220 (Handbreak),00,00,01,08,,,,,,,
手刹锁定,220 (Handbreak),00,00,01,18,,,,,,,
后窗加热,23A (LightSwitch),00,00,03,00,03,00,,,,,
转速 850,108 (RPM),00,00,08,11,0D,44,00,00,00,00,00
转速 1500,108 (RPM),00,00,08,21,18,78,00,00,00,00,00
空调开启,155 (Climate),00,00,03,80,00,30,,,,,
空调关闭,155 (Climate),00,00,03,00,00,2C,,,,,
方向盘右侧音量减,175 (WheelJoys),00,00,08,00,00,00,00,CC,02,00,1F
方向盘右侧音量加,175 (WheelJoys),00,00,08,00,00,00,00,CC,01,00,01
方向盘右侧按钮按下,175 (WheelJoys),00,00,08,00,00,00,00,CC,05,00,00
方向盘右侧按钮抬起,175 (WheelJoys),00,00,08,00,00,00,00,CC,04,00,00
方向盘左侧选择上,175 (WheelJoys),00,00,08,00,00,00,00,CC,10,1F,00
方向盘左侧选择下,175 (WheelJoys),00,00,08,00,00,00,00,CC,20,01,00
方向盘左侧确认,175 (WheelJoys),00,00,08,00,00,00,00,CC,30,00,00
方向盘左下按钮,175 (WheelJoys),00,00,08,00,00,00,00,CC,50,00,00
方向盘左上按钮,175 (WheelJoys),00,00,08,00,00,00,00,CC,40,00,00
车门上锁,230 (RearLeftDoor),00,00,05,05,00,00,00,00,,,
车门解锁,230 (RearLeftDoor),00,00,05,00,00,00,00,00,,,
行李厢短按解锁,405 (FrontLeftDoor),00,00,06,00,00,00,04,00,00,,
行李厢长按解锁,405 (FrontLeftDoor),00,00,06,00,00,00,06,00,00,,
方向盘控制空闲,175 (WheelJoys),00,00,08,00,00,00,00,CC,00,00,00
右前窗升起按钮,415 (RightWindow),00,00,05,00,00,00,00,00,,,
右前窗下降按钮,415 (RightWindow),00,00,05,00,04,00,1B,F0,,,
右后窗下降按钮,415 (RightWindow),00,00,05,00,00,04,1B,F0,,,
右后窗升起按钮,415 (RightWindow),00,00,05,00,00,02,1B,F0,,,
左后窗下降按钮,415 (RightWindow),00,00,05,00,00,40,1B,F0,,,
左后窗升起按钮,415 (RightWindow),00,00,05,00,00,20,1B,F0,,,
亮度值(0-255),235 (brightness),00,00,02,00,6A,,,,,,
前雾灯开启,350 (FrontFogLight),00,00,02,26,00,,,,,,
前雾灯关闭,350 (FrontFogLight),00,00,02,06,00,,,,,,
中控旋钮左转,201,00,00,03,08,6A,FF,,,,,
中控旋钮右转,201,00,00,03,08,6A,01,,,,,
中控旋钮按下 D2增量,201,00,00,03,01,6B,2A,,,,,
导航按钮,201,00,00,03,01,E0,0B,,,,,
转速,255,00,00,08,07,AE,01,02,02,00,17,70
转速,255,00,00,08,07,AE,01,01,01,00,00,F9
冷却液温度,255,00,00,08,07,AE,01,08,08,00,A7,00
油量指示最大值,255,08,07,AE,01,04,04,00,28,00,,
图标测试锁定,255,00,00,08,07,AE,06,01,01,00,08,00
右前窗全降,258,00,00,08,04,AE,02,08,08,00,00,00
右前窗全升,258,00,00,08,04,AE,02,08,10,00,00,00
示廓灯测试开启,253 (UEC),00,00,08,06,AE,02,0C,00,0C,00,00
示廓灯测试关闭,253 (UEC),00,00,08,06,AE,02,0C,00,00,00,00
近光灯测试开启,253 (UEC),00,00,08,06,AE,02,C0,00,C0,00,00
近光灯测试关闭,253 (UEC),00,00,08,06,AE,02,C0,00,00,00,00
雾灯测试开启,253 (UEC),00,00,08,06,AE,02,00,0C,00,0C,00
雾灯测试关闭,253 (UEC),00,00,08,06,AE,02,00,0C,00,00,00
远光灯测试开启,253 (UEC),00,00,08,06,AE,02,30,00,30,00,00
远光灯测试关闭,253 (UEC),00,00,08,06,AE,02,30,00,00,00,00
转向灯测试开启,253 (UEC),00,00,08,06,AE,02,03,00,03,00,00
转向灯测试关闭,253 (UEC),00,00,08,06,AE,02,03,00,00,00,00
开锁 - 仅左前门,160 (Remote),00,00,04,01,10,7D,28,,,,
关门,160 (Remote),00,00,04,01,40,7D,28,,,,
全车门解锁,160 (Remote),00,00,04,01,20,7D,28,,,,
长按关闭,160 (Remote),00,00,04,01,C0,7D,28,,,,
长按开启,160 (Remote),00,00,04,01,30,7D,28,,,,
行李厢开一次,160 (Remote),00,00,04,01,04,7D,28,,,,
行李厢开两次,160 (Remote),00,00,04,01,08,7D,28,,,,
行李厢长按开启,160 (Remote),00,00,04,01,0C,7D,28,,,,
防盗启动,621 (Immo),00,00,08,00,48,50,00,00,00,00,00
点火前状态,621 (Immo),00,00,08,00,20,00,00,00,00,00,00
